60	360	130.42	2m 1.94s
70	420	105.11	2m17.15s
80	480	118.89	2m30.95s
90	540	142.17	3m21.57s
100	600	150.31	3m27.15s
110	660	148.18	3m59.67s
120	720	146.01	4m44.27s
130	780	146.78	5m54.43s
140	840	149.51	6m21.66s
150	900	150.51	7m15.52s
160	960	149.41	7m14.23s
170	1020	150.00	5m44.54s
180	1080	149.79	6m 9.52s
190	1140	150.02	6m51.60s
200	1200	150.07	
210	1260	150.62	
220	1320	150.74	10m 8.72s
230	1380	150.57	16m14.61s
240	1440	149.57	16m22.11s
250	1500	150.56	16m 8.40s
